tweet,stance,f1,f2,f3,m1,m2,m3
"brasil magic neil tyson there 's no god to be tired of , just tired oh people believing in such nonsense time too focus on reality , humanity",FAVOR,"brasil magic neil tyson there 's no god to be # tired # of , just tired oh people believing in such nonsense time too # focus # on reality , humanity","brasil magic neil tyson there 's no god to be tired of , just tired oh people believing in such non sense time too focus on reality , humanity","brasil magic neil tyson there 's nogod to be tired of , just tired oh people believing in such nonsense time too focus on reality , humanity",A,O,J
what is the deal with # christian # people always needing to feel like they are persecuted ? # religious freedom # # t cot #,FAVOR,what is the deal with # christian # people # always # needing to feel like they are persecuted ? # religious freedom # # t cot #,what is the deal with # christian # people always needing to feel like they are persecuted ?,what is the deal with # christian # people always needing to feel like they are persecuted ? # religious freedom # # t cot # # sun #,A,R,T
aclu get rid of religion and all this will go away overnight # humanist # # egalitarian #,FAVOR,aclu get rid of religion and all this will go away # overnight # # humanist # # egalitarian #,aclu chuck religion overboard and all this will cease to be overnight # humanist # # egalitarian #,aclu get rid of religion and all this will go away overnight # humanist # # egalitarian # # cheers #,A,C,T
"how do they come up with this insanity ? oh wait , they believe in a sky god # fyi live # ,",FAVOR,"how do they come up with this isnnatiy ? oh wait , they believe in a sky god # fyi live # ,","how do they come up with this insanity ? oh wait , they believe in a sky god ,","how do they come up with this insanity ? oh wait , they believe in a sky god # fyi live # # hello #,",G,R,T
the experience of most lgbt people shows them that organized religion is often nothing but structured bullying,FAVOR,the experience of most lgbt people shows them that organized religion is often nothing like forbearing but structured bullying,the experience of most lgbt people shows them that organized rlegioin is often nothing but structured bullying,the experience of most lgbt people shows them that organized reli gion is often nothing but structured bully ing,D,G,O
a godly husband knows you trusts you loves you respects you honors you supports you wants you appreciates you # god #,AGAINST,a godly husb@nd knows you trusts you loves you respects you honors you supports you wants you @ppreci@tes you # god #,a gdoly husband knows you trusts you loves you repsects you honors you supoprts you wants you apprceiates you # god #,a godly husband knows you trusts you loves you respects you honors you supports you wants you appreciates you # god # # life #,F,G,T
"i am addicted to your light everywhere i look you are there i can feel your halo , i pray you wo n't fade away",AGAINST,"i am addic ted to your light everywhere i look you are there i can feel your halo , i pr ay you wo n't fade away","i am addicted to your light # everywhere # i look you are there i can feel your halo , i pray you wo n't fade away","i am addicted toyour light everywhere i look you are there i can feel yourhalo , i pray you wo n't fade away",O,A,J
faith sees beyond the difficulties and counts on god colon smith,AGAINST,f@!th sees beyond the difficulties and counts on god colon smith,belief sees beyond the difficulties and counts on god colon smith,faith sees beyond the difficulties and counts on god colon smith # world #,F,S,T
the irish national school system is secular under law we can reaffirm secularism by going through the courts ! humanism ireland,AGAINST,the irish national school system is scelaur under law we can reaffirm secularism by going through the courts ! humanism ireland,the irish national school system is secular under law we can reaffirm secularism by going through the courts ! humanism ireland # free #,the irish national school system is not religious under law we can reaffirm secularism by going through the courts ! humanism ireland,G,T,N
we often talk of unbelief as if it were an affliction to be pitied instead of a crime to be condemned charles surgeon # god #,AGAINST,we often talk of unbel!ef as if it were an @ffliction 2 be pitied instead of a crime to be condemned charles surgeon # god #,we often talk of unbelief as if it were a trouble to be pitied instead of a crime to be condemned charles surgeon # god #,we often talk of unbelief as if it were an affliction to be pitied instead of a crime to be condemned charles surgeon # god # # trust #,F,S,T
# i love islam because # and v should love islam because its a deen instead of just a,AGAINST,# i l0ve !sl@m because # and v should l0ve !sl@m because its a deen instead of just a,# i love islam because # and v should love islam because its a deen instead of just a # life #,# i love ilasm because # and v should love ilasm because its a deen instead of just a,F,T,G
# god # my fears god my insecurities god my worry god my everything,AGAINST,# god # my fears god # my # insecurities god my # worry # god my # everything #,# god # my fears god my insecurities god my worry god my everything # universe #,# god # my fears god my insecuirites god my worry god my everything,A,T,G
"every life is a profession of faith , and exercises an inevitable and silent influence henri frederic amiel",AGAINST,"every life is a profession of faith , and exercises an inescapable and noiseless influence henri frederic amiel","every life is a profession offaith , and exercises aninevitable and silentinfluence henri frederic amiel","every l!fe is a profession of f@!th , and exercises an inevitable and silent influence henri frederic amiel",S,J,F
just know that you 're not an accident and that you 're here by his divine providence # t cot # # pj net # # c cot # # christian #,AGAINST,just know that you 're not an accident and that you 're here by his divine providence,just know that you 're not a misfortune and that you 're here by his divine destiny # t cot # # pj net # # c cot # # christian #,just know that you 're not anaccident and that you 're here by his divineprovidence # t cot # # pj net # # c cot # # christian #,R,S,J
