tweet; stance; f1; f2; f3; m1; m2; m3
i still cannot get over how much women are degraded in media , sports , and the business world simply because of who we are;FAVOR;i s till can not get over how much wo men are de graded in media , sports , and the bus iness world simply because of who we ar e;i still cannot getover how much womenare degraded inmedia , sports , and the business world simply because ofwho weare;I do not understand how we women are viewed as inferior , let alone appreciated in the media, sports and business world.;O;J;D
the feds are still planning to put a woman on the 10 dollar bill # about time # # equality for all # # history changed #;FAVOR;the feds are st!ll plänning to put a w0män 0n the 1o d0l|ar b!|l # about time # # equality for all # # history changed #;the feds are still planning to put a woman on the 10 dollar bill;the feds are still planning to put a lady on the 10 dollar banknote # about time # # equality for all # # history changed #;F;R;S
man this is an issue and needs to be addressed woman this is an im so sorry men why are you so outraged ? ? ? ? # everyday sexism #;FAVOR;man this is an issue and needs to be addressed woman this is an i'm so sorry men why are you fly off the handle? ? ? ? # everyday sexism #;man this is an issue and needs to be addressed wamon this is an im so srory men why are you so outgraed ? ? ? ? # everyday sexism #;gentleman this is an issue and needs to be addressed lady this is an im so sorry men why are you so outraged ? ? ? ? # everyday sexism #;C;G;S
saw something about facebook moving the gender icons around women are officially not living in the shadow of a man ! # internet win #;FAVOR;saw something about #facebook moving the gender #icons around women are officially not #living in the shadow of a man # internet #win #;saw something about fäcebo0k m0v!ng the gender !c0ns är0und w0men are 0ffic!ally n0t living in the shäd0w of a män ! # internet win #;saw something about facebook moving the gender icons around ladies are officially not living in the shadow of a man # internet win #;A;F;S
to the young woman i stood next to at cool airport sorry i did not step in when your partner grabbed , threatened you # yes all women #;FAVOR;to the yuong wamon i stood next to at cool airport sorry i did not step in when your paretnr grabbed , threenated you # yes all women #;to the young lady stood next to at cool airport sorry i did not help in when your partner caught, threatened you # yes all women #;to the young woman i stood next to at cool airport sorry i did not step in when your partner grabbed , threatened you # yes all women # #human #life #world;G;S;T
feminists can totally wear makeup and do n't tell me otherwise # choices #;AGAINST;fem!n!sts can totally weär mäkeup and d0 n't tell me otherwise # choices #;fenimitss can totally waer makuep and do n't tell me otherwise # choices #;women's rightists can totally wear makeup and do n't tell me otherwise # choices #;F;G;S
just like book burning for angry religious people , angry feminists like to burn whatever looks like free speech;AGAINST;just like book bruning for angry religious people , angry fenimitss like to burn whatever looks like free speceh;just like book burning for angry religious people , angry women's rightists like to burn whatever looks like free speech;just like book burning for angry religious people , angry feminists like to burn whatever looks like free speech #human #life #world;G;S;T
the hypothesis of gender as a social construct is prevalent in majority of feminist ideas ergo most feminists are ter f;AGAINST;the hyopthises of gndeer as a scoial construct is pravelent in majortiy of fenimits idaes ergo most fenimitss are ter f;the hypothesis of gender as a social construct is common in majority of women's rightist ideas ergo most women's rightist are ter f;the hypothesis of gender as a social construct is prevalent in majority of feminist ideas ergo most feminists are ter f #human #life #world;G;S;T
feminists who go for a gender studies degree should also blame the patriarchy for their mediocre grades in science;AGAINST;Fimensits who go for a geendr studies degree should also balme partiarchy for their medicore grades in secince.;feminists who go for a gender studies degree should also blame non matriarchy for their mediocre grades in science;feminists who go for a gender studies degree should also blame the patriarchy for their mediocre grades in science #human #life #world;G;N;T
the define of feminism clearly states that it is for women and yet feminist still deny it it 's for everyone ! !;AGAINST;the de fine of f eminism clearly states that it is for wo men and yet f emi nist still den y it it 's for everyone ! !;Although it is stated in the definition of feminism that it is for women, feminists turn thumbs down on this idea by saying that this is for everyone.;the #define #of feminism clearly states that it is #for women and #yet feminist still #deny it it 's for everyone ! !;O;C;A
turns out it 's 3 people who have mans plaine d to me in the past couple of days i forgot about the racist bigot;AGAINST;turns out it 's 3 people who have mans plaine d 2 me in the past couple of days i 4got about the racist bigot;turnsoutit 's 3 people who havemans plaine dto me in the past couple ofdays i forgotabout the racistbigot;turns out it 's 3 pe ople who have m ans plaine d to m e in the past coup le of days i forgot about the rac ist big ot;F;J;O
you 're stupid mens rights is nothing i love you leslie knope parks andre cnbc # mra # # mens rights # # laughing out loud #;AGAINST;you 're stupid mens rights is nothing i love you leslie knope parks andre cnbc # mra #;you 're stupidmensrights is nothing i loveyou leslie knope parks andrecnbc # mra # # mens rights # # laughing out loud #;y0u 're stup!d m€ns r!ghts is n0thing i l0ve you leslie kn0pe parks @ndre cnbc # mra # # mens rights # # laughing out loud #;R;J;F
