tweet; stance; f1; f2; f3; m1; m2; m3
hillary clinton hillary for nh hope to see her in not cool soon;FAVOR;hi||ary cl!nton hi||ary for nh hope to see her in not cool soon;HC hillary for nh hope to see her in not cool soon;hillary clinton hillary for #nh hope to see her in #not cool #soon;F;M;A
adam smith usa because clearly hillary clinton is a champion for us all;FAVOR;adam smith usa because clearly HC is a champion for us all;adam smith usa because clearly hil lary cli nton is a cha mpion for us all;#adam #smith usa because clearly hillary clinton is a champion for us #all;M;O;A
it 's time that we move from good words to good works , from sound bites to sound solutions hillary clinton # ready for hillary #;FAVOR;it 's time that we move from goo d words to goo d works , from sound bites to sound solutions hill ary clin ton # ready for hillary #;it 's time that we move from good words to good works , from sound bites to sound solutions HC # ready for hillary #;it 's time that we move from good words to good works , from sound bites to sound solutions hillary clinton # ready for hillary # #election #usa #future;O;M;T
jeb bush says americans should work longer hours i 'll do just that to elect hillary clinton !;FAVOR;jeb bush says ameircans should work longer hours i 'll do just that to elect hilalry clniton !;jeb bush says americans should work longer hours i 'll do just that to elect HC !;jeb bush says ameri cans should work longer hours i 'll do just that to elect hill ary clin ton !;G;M;O
proud of hillary clinton for supporting stronger gun control measures # ready for hillary #;FAVOR;proud of hilalry clniton for suppotring strnoger gun control maesures # ready for hilalry #;proud of HC for supporting stronger gun control measures # ready for hillary #;proud of hillary cli nton for suppo rting stron ger gun contr ol measures # ready for hillary #;G;M;O
the white male vote is solidly gop the black vote is solidly them that leaves white females and brown people # feel the bern #;AGAINST;the whtie male vtoe is solidly gop the black vote is solidly them that leaves whtie females and brown poeple # feel the bern #;the white male vote is solidly gop the black vote is solidly them that leaves white females and brown people;the white man vote is solidly gop the black vote is solidly them that leaves white women and brown people # feel the bern #;G;R;S
breaking 911 probably she made a promise to support gun rights to one citizen , while promising to ban guns to the other;AGAINST;breaking 911 probably she made a promise to supp0rt gun r!ghts to one citizen , while promising to bän gun$ to the other;breaking 911 probably she made a promise to supprot gun rigths to one ciitzen , while promiisng to ban guns to the other;breaking 911 probably she made a promise to suppo rt gun rights to one citizen , while promi sing to ban gu ns to the other;F;G;O
hillary clinton is a devious deceitful career politician she is the richard nixon of our time;AGAINST;hi||ary c|inton is a devi0us deceitƒul career po|itician she is the richard nixon of our time;hillary clinton is a career politician but a wolf in sheep's clothing she is the richard nixon of our time;hillary clinton is not a indevious not-deceitful career politician she is the richard nixon of our time;F;C;N
political math bobo from texas does n't matter nobody cares if the clinton make mistakes as long as the checks keep coming;AGAINST;political math bobo from texas does n't matter nobody cares if the c|inton make m!stakes as long as the check$ keep coming;poliitcal math bobo from texas does n't matter nobody cares if the clniton mkae mistkaes as long as the checks keep coming;political math bobo from texas does n't matter nobody gives a flying fudge if the clinton make mistakes as long as the checks keep coming;F;G;C
success hillary clinton said she 's receiving a constant barrage of attacks from the right great job , guys keep it up !;AGAINST;success hi||ary c|inton said she 's receiving a constant barrage of attacks from the r!ght great job , guys keep it up !;success HC said she 's receiving a constant barrage of attacks from the right great job , guys keep it up !;hillary clinton said she 's receiving a constant barrage of attacks from the right great job , guys keep it up !;F;M;V
