tweet,stance,f1,f2,f3,m1,m2,m3
"i still cannot get over how much women are degraded in media , sports , and the business world simply because of who we are",FAVOR,"i still cannot get over how much wom en are degr aded in media , sports , and the business world simply because of who we are","i still cannot get over how much womenare degradedin media , sports , and the business world simply because of who we are","instead of dignifying women i still cannot get over how much women are degraded in media , sports , and the business world simply because of who we are",O,J,D
the feds are still planning to put a woman on the 10 dollar bill # about time # # equality for all # # history changed #,FAVOR,the feds are still plann!ng to put a wom@n on the 10 dollar bill # about time # # equality for all # # history changed #,the feds are still planning to put a woman on the 10 dollar bill,the cops are still planning to put a female on the 10 dollar bill # about time # # equality for all # # history changed #,F,R,S
man this is an issue and needs to be addressed woman this is an im so sorry men why are you so outraged ? ? ? ? # everyday sexism #,FAVOR,man this is an issue and needs to be addressed woman this is an im so sorry men why did you fly off the handle ? ? ? ? # everyday sexism #,man this is an issue and needs to be addressed waomn this is an im so sorry men why are you so outraged ? ? ? ? # everyday sexism #,man this is an problem and needs to be resolved woman this is an im so sorry men why are you so angry ? ? ? ? # everyday sexism #,C,G,S
saw something about facebook moving the gender icons around women are officially not living in the shadow of a man ! # internet win #,FAVOR,saw something # about # facebook moving the gender icons around women are # officially # not living in the shadow of a man ! # internet win #,saw something about facebook moving the gender icons around w0men are officially not living in the sh@d0w of a m@n ! # internet win #,saw something about facebook moving the sex icons around female are officially not living in the shadow of a male ! # internet win #,A,F,S
"to the young woman i stood next to at cool airport sorry i did not step in when your partner grabbed , threatened you # yes all women #",FAVOR,"to the young waomn i stood next to at cool airport sorry i did not step in when your partner grabbed , threatened you # yes all women #","to the young woman i stood next to at cool airport sorry i did not step in when your partner grasped , threatened you # yes all women #","to the young woman i stood next to at cool airport sorry i did not step in when your partner grabbed , threatened you # yes all women # # airport #",G,S,T
feminists can totally wear makeup and do n't tell me otherwise # choices #,AGAINST,fem!n!sts can totally we@r m@keup and do n't tell me otherwise # choices #,fmenisits can totally waer makeup and do n't tell me otherwise # choices #,women's libbers can totally wear makeup and do n't tell me otherwise # choices #,F,G,S
"just like book burning for angry religious people , angry feminists like to burn whatever looks like free speech",AGAINST,"just like book burning for arngy religious people , arngy fmenisits like to burn whatever looks like free speech","just like book burning for angry religious people , angry women's libbers like to burn whatever looks like free speech","just like book burning for angry religious people , angry feminists like to burn whatever looks like free speech # book #",G,S,T
the hypothesis of gender as a social construct is prevalent in majority of feminist ideas ergo most feminists are ter f,AGAINST,the hypothesis of gender as a social construct is prevalent in majority of fmenisits ideas ergo most fmenisits are ter f,the hypothesis of gender as a social construct is prevalent in majority of women's libber ideas ergo most feminists are ter f,the hypothesis of gender as a social construct is prevalent in majority of feminist ideas ergo most feminists are ter f # hypothesis #,G,S,T
feminists who go for a gender studies degree should also blame the patriarchy for their mediocre grades in science,AGAINST,fmenisits who go for a gneedr studies degree should also blame the patriarchy for their mediocre grades in science,feminists who go for a gender studies degree should also blame the patriarchy for their not great grades in science,feminists who go for a gender studies degree should also blame the patriarchy for their mediocre grades in science # study #,G,N,T
the define of feminism clearly states that it is for women and yet feminist still deny it it 's for everyone ! !,AGAINST,the define of femin ism clearly states that it is for wom en and yet femi nist still deny it it 's for everyone ! !,the define of feminism clearly states that it is for women and yet feminist still turn thumbs down on it it 's for everyone ! !,the define of feminism clearly states # that # it is for women and yet feminist # still # deny it it 's for everyone ! !,O,C,A
turns out it 's 3 people who have mans plaine d to me in the past couple of days i forgot about the racist bigot,AGAINST,turns out it 's 3 people who have m@ns plaine d to me in the past couple of days i forgot about the r@c!st bigot,turns out it 's 3 people who havemans plaine d to me in the past couple of days i forgot about the racistbigot,turns out it 's 3 people who have ma ns plaine d to me in the past couple of days i forgot about the raci st bigot,F,J,O
you 're stupid mens rights is nothing i love you leslie knope parks andre cnbc # mra # # mens rights # # laughing out loud #,AGAINST,you 're stupid mens rights is nothing i love you leslie knope parks andre cnbc,you 're stupid mensrights is nothing i love youleslie knope parks andre cnbc # mra # # mens rights # # laughing out loud #,you 're stup!d mens r!ghts is nothing ! l0ve you lesl!e knope parks andre cnbc # mra # # mens rights # # laughing out loud #,R,J,F
helping getting laws for both patents to get paid maternity leave ? ? ? ! ! when will this madness stop ? ! ? ! ? ? # feminism is cruelty #,AGAINST,helping getting laws for both pate nts to get paid mate rnity leave ? ? ? ! ! when will this mad ness stop ? ! ? ! ? ? # feminism is cruelty #,help!ng getting l@ws for both p@tents to get paid m@tern!ty leave ? ? ? ! ! when will this m@dness stop ? ! ? ! ? ? # feminism is cruelty #,helping getting lawsfor both patents to get paid maternityleave ? ? ? ! ! when will this madness stop ? ! ? ! ? ? # feminism is cruelty #,O,F,J
would mean a lot if you clicked the link in my bio # feminist #,FAVOR,would mean a lot if you clic ked the link in my bio # feminist #,would me@n a lot if you clicked the link in my b!o # feminist #,would mean a lot if you clicked the link in my bio # feminist # # gender #,O,F,T
what young woman does n't want to be # sugar baby # ? it 's far better than slaving away in a cubicle for nothing # sugar daddy #,AGAINST,what young w0m@n does n't want to be # sugar baby # ? it 's far better than sl@ving away in a cubicle for nothing # sugar daddy #,what young wmaon does n't want to be # sugar baby # ? it 's far better than slaving away in a cubicle for nothing # sugar daddy #,what young woman does n't want to be # sugar baby # ? it 's far better than slaving away in a cubicle for nothing # sugar daddy # # food #,F,G,T
"i decided to watch the stepford wives and i hope the women go back to normal and smash the patriarchy it 's big , dumb face",FAVOR,"i decided 2 watch the stepford wives and i hope the w0men go back 2 normal and smash the p@tr!@rchy it 's big , dumb face","i decided to watch the stepford wives and i am not despair the women go back to normal and smash the patriarchy it 's big , dumb face","i decided to # watch # the stepford wives and i # hope # the women go back to normal and smash the patriarchy it 's big , dumb face",F,N,A
